,Titulo,Data,Cluster
35,el rey recuerda ejército `` misión garantizar libertad seguridad españoles '',2020-01-06,2
34,fernando alonso queda tirado dakar problema mecánicos coche,2020-01-06,2
37,ricardinho confirma fichaje accs fc parís : firma 2023,2020-01-06,2
51,así especial camiseta lucirá atlético madrid supercopa,2020-01-07,2
50,"muere escritora periodista elizabeth wurtzel , autora 'nación prozac ' , 52 años",2020-01-07,2
49,neymar desliga rumores : quiere ganar champions psg,2020-01-07,2
48,"'redención ' , fernando gamboa , libro destacado semana",2020-01-07,2
52,la cómoda malm ikea aplastó muerte niño : familia recibe 41 millones indemnización,2020-01-07,1
46,uk solar company secures funding build two major solar ...,2020-01-07,2
45,spain get coalition government sanchez win ...,2020-01-07,2
44,sanchez win cliff-hanger spain vote form new govt,2020-01-07,2
43,socialists podemos rule together spanish coalition,2020-01-07,2
47,las dudas resolver tras do me asesinato marta calvo : ¿está cuerpo vertedero ?,2020-01-07,2
62,barcelona team bus get lost route spanish super cup,2020-01-08,2
61,how people around world see u.s. donald trump ...,2020-01-08,2
60,spanish super cup : how real madrid qualify ?,2020-01-08,2
59,el cojín lumbar alivia dolor felipe vi : solo 10 euro problema quirófano,2020-01-08,2
58,"`` si fusilarte , haremos '' : simpatizante vox amenazó fundador teruel existe",2020-01-08,2
57,el impactante vídeo niña tenerife corriendo cornisa edificio 30 metro,2020-01-08,2
55,"la habitación secreta hidromasaje alto cargo junta andalucía , descubierta",2020-01-08,1
54,crisis govern : aragonès pide elegir president torra inhabilitado firme,2020-01-08,2
53,"muere infanta pilar borbón , hermana rey juan carlos , 83 años",2020-01-08,2
56,"jameneí : `` el ataque suficiente , presencia corrupta eeuu zona debe terminar ''",2020-01-08,2
69,últimas tendencias moda mujer ponibles 2020,2020-01-09,2
72,los mejores meme barcelona - atlético madrid ...,2020-01-09,2
70,así mano messi var anuló gol '10 ' barça,2020-01-09,2
68,así nuevo curso prematrimonial do años novios quieran pasar altar,2020-01-09,2
71,la dura medida dgt acabar conductores alertan controles policiales,2020-01-09,1
66,`` no puedes esperar joao félix salvador equipo casi italiano atlético '',2020-01-09,2
63,berbatov crisis manchester united : `` me siento mierda '',2020-01-09,2
67,raúl tomás : `` ojalá pueda seguir pasos tamudo hacer mismo él '',2020-01-09,2
65,"vara , page , bono ibarra , protagonistas vídeo viral : `` nunca pactaremos podemos ''",2020-01-09,2
64,"joao félix , messi , suárez ... tremenda tangana barcelona- atlético",2020-01-09,2
73,nadal loser winner spain triumph atp cup match ...,2020-01-10,2
74,spain 's top court say jailed catalan separatist can not ...,2020-01-10,2
75,spain supreme court prevents convicted catalan ...,2020-01-10,2
77,el barcelona reúne xavi doha nuevo entrenador,2020-01-10,2
78,médicos enfermeros cuestionan illa ministro : `` no encaja bien '' `` no experiencia '',2020-01-10,2
79,el málaga destituye víctor sánchez amo tras chantaje sexual : `` no vídeo '',2020-01-10,2
80,horario internacional dónde ver de miñaur - nadal atp cup,2020-01-10,2
81,muere futbolista 21 años aparece cadáver devorado tiburones,2020-01-10,2
82,vox enchufa afiliado “ chiringuito ” prometió eliminar,2020-01-10,2
76,"josé luis escrivá , nuevo ministro seguridad social , inclusión migraciones",2020-01-10,2
88,qué hasselbaink : delantero atlético ...,2020-01-11,2
86,"el magistrado juan carlos campo , nuevo ministro justicia",2020-01-11,2
87,iglesias instalará ministerio sanidad compartirá espacio ministros illa garzón,2020-01-11,2
85,guardiola : `` ¿piqué ? al principio terminaba ver ... '',2020-01-11,2
83,spain 's nadal secures comeback win set atp cup final ...,2020-01-11,2
84,original basement floor historic building gibraltar dating back 200 year uncovered chance,2020-01-11,2
89,"novak djokovic lead serbia atp cup victory , rafael nadal sold 'two world cups one month '",2020-01-12,2
90,"sánchez , tras ser investido gracias erc : `` no progresista unir españa ''",2020-01-12,2
91,vox reivindica identidad españa gobierno sánchez `` en manos 'indepes ' '',2020-01-12,2
92,cómo cerrar poros abiertos cara rápidamente,2020-01-12,2
93,"luis enrique : `` empatizo ernesto valverde , creo mejores ''",2020-01-12,2
94,luis suárez pierde casi queda temporada : cuatro me baja,2020-01-12,2
95,la tristeza fernando alonso carlos sainz muerte paulo gonçalves dakar,2020-01-12,1
96,valverde win spanish super cup final mvp,2020-01-12,2
97,10 great oddball european sporting competitions in ...,2020-01-12,2
98,"xavi favours summer return barcelona coach , club wants immediate move : reports",2020-01-12,2
108,el gobierno sánchez promete `` guardar constitución '' acto toque feministas,2020-01-13,2
107,"antonio , padre bombero puertollano matado tiro novia suicidarse",2020-01-13,2
106,un atleta pega escalofriante patada perro plenum carrera,2020-01-13,2
104,el valladolid avanza hacerse cesión raúl garcía carnero,2020-01-13,2
105,"baterías orgánicas flujo eficientes coste 0,05 ...",2020-01-13,2
102,las franjas verticales volverán camiseta deportivo coruña próxima jornada,2020-01-13,2
99,"spain ’ s nadal serbia ’ s djokovic announce €450,000 cash donation australian bushfires relief atp cup team final",2020-01-13,2
103,"hakan sukur , triunfar fútbol ver encarcelación padre conductor uber",2020-01-13,2
101,"quique setién , nuevo entrenador barcelona 2022",2020-01-13,2
100,neymar echa pulso psg poniendo ejemplo pasó barcelona,2020-01-13,2
118,cranswick pen charcuterie deal major spanish pork ...,2020-01-14,2
117,russian tanker back kaliningrad region shipping u.s. ...,2020-01-14,2
116,scharlab amplía instalaciones sentmenat continúa ...,2020-01-14,2
114,"la ridícula muerte lord byron , romántico quiso liberar griegos turcos",2020-01-14,1
115,abierto plazo solicitar beca infantil madrid : darán 100 200 euro me,2020-01-14,2
112,el irónico recado robert moreno preguntarle despido valverde,2020-01-14,2
111,el día setién dio palo guardiola independentismo gustará barça,2020-01-14,2
110,marítimo,2020-01-14,2
109,one killed chemical factory explosion spain,2020-01-14,2
113,sánchez acaba consejos ministros viernes hará martes,2020-01-14,2
128,bladder cancer linked drinking water chemical europe,2020-01-15,2
127,"muere antonio hernández-gil , exdecano colegio abogados madrid",2020-01-15,2
126,hablan guardias civiles denunciados obligar hablar español cuatro valencianos : versión,2020-01-15,2
125,escándalo manchester city : así fiesta jugadores 22 modelos,2020-01-15,2
124,el triste final médico familia desparecido málaga : hallado muerto sótano,2020-01-15,2
123,"olga , víctima machista puertollano conoció asesino programa citas ramón garcía",2020-01-15,2
121,bartomeu deja puerta abierta xavi : `` será algún día entrenador barça '',2020-01-15,2
120,gunmen go people police port spain,2020-01-15,2
119,"spanish factory explosion death toll rise three , man likely killed flying debris kilometre away",2020-01-15,2
122,alicante airport evacuated fire break terminal building,2020-01-15,2
138,el regreso esperado ufc : nuevo 'the notorius ' mcgregor récord millonario,2020-01-16,2
137,el músico josé luis perales confirma abandona sgae,2020-01-16,2
136,grecia elegirá primera vez mujer presidenta república,2020-01-16,2
135,"el sevilla agita mercado : gasta 20 millones fichar en-nesyri , delantero leganés",2020-01-16,2
134,"un camionero , multado jaén conducir mientras veía telenovela tablet",2020-01-16,2
132,"muere 95 años cristopher tolkien , hijo autor 'el señor anillos '",2020-01-16,2
131,billionaire art collector fined £44million trying smuggle picasso spain,2020-01-16,2
130,jaime botin is sentenced prison picasso smuggling fiasco,2020-01-16,2
129,golpe policial banda motera 'united tribuns nomads ' control droga palma,2020-01-16,2
133,la fórmula pensamiento nápoles eliminar barcelona champions league,2020-01-16,1
145,changing uk driving licence spanish brexit loom,2020-01-17,2
148,catalan-spanish conductor jordi savall enthralls uae audience,2020-01-17,2
147,iker casillas touted president spanish fa recovers heart attack,2020-01-17,2
146,"'paraíso ' , nueva serie misterio adolescente ...",2020-01-17,2
144,santander crédit agricole lanzan negocio custodia valores,2020-01-17,2
141,25 aniversario terremoto kobe,2020-01-17,2
142,por cáncer afecta hombre mujeres,2020-01-17,2
139,"caen united tribuns nomad , peligrosa banda motera ...",2020-01-17,2
143,real madrid renew spanish forward fernandez 's deal,2020-01-17,2
140,balearic island pas bill targeting boozy brits abroad,2020-01-17,2
149,"brexit ‘ golden opportunity ’ spain take back sovereignty gibraltar , say spanish mep",2020-01-18,2
150,ibiza stamps out lawless drunkenness with tough new ...,2020-01-18,2
151,spain crack binge-drinking magaluf ibiza new law banning pub crawl happy hour,2020-01-18,2
152,detienen 30 persona amañaban parejas hecho inmigrantes valencia,2020-01-18,2
153,"¿qué santo celebra hoy , domingo 19 enero ? la lista completa santoral",2020-01-18,1
154,"la `` puta mierda '' junqueras : `` el 'procés ' acaba independencia , volveremos hacer ''",2020-01-18,1
155,las obras hacer congreso accesible diputados echenique costarán 123.000€,2020-01-18,2
156,"el ministro cultura , rodríguez uribes , 'pin parental ' : `` es prejuicio intolerancia ''",2020-01-18,2
157,"beatriz neila , piloto dejó mundial sbk : `` hay marcas cierran puertas mujeres ''",2020-01-18,2
158,de sainz al attiyah : elogios recibido fernando alonso primer dakar,2020-01-18,2
165,tech platform 'destroying democracy ' - cgtn,2020-01-19,2
168,isabel allende on ' a long petal of the sea ',2020-01-19,2
167,‘ bad boys for life ’ takes $ 39m offshore bow ; ‘ 1917 ’ races to $ 139m global & ‘ jumanji : the next level ’ ups game past $ 700m ww – international box office,2020-01-19,2
166,"“ las mujeres debemos hacernos oír descarbonización , despoblación papel economías periféricas ”",2020-01-19,2
164,"la soñadora judith acribillada ex , mosso carlos ...",2020-01-19,1
160,"el aeropuerto alicante-elche cierra lluvia , viento nieve trae borrasca 'gloria '",2020-01-19,2
162,la polémica tarjeta roja granada hizo quedarse menos barça,2020-01-19,1
161,el tiempo : pronóstico lunes 20 enero,2020-01-19,2
159,ibiza targeting booze tourism with new regulations,2020-01-19,2
163,el humor iglesias problemas espalda : `` los ...,2020-01-19,2
175,'clausulazo ' espanyol getafe fichar 'lele ' cabrera,2020-01-20,2
177,el sindicato estudiantes convoca huelga general `` antifascista '' pin parental,2020-01-20,2
176,"florian lejeune , defensa premier sabe deshacerse cadáver gracias netflix",2020-01-20,2
174,"la madre wafaa , joven desapareció vez marta calvo : `` está viva , llevado ''",2020-01-20,1
178,el impactante accidente sergio romero lamborghini entrenar united,2020-01-20,2
172,two dead storm gloria brings extreme weather eastern ...,2020-01-20,2
171,‘ illegal house ’ action group expands murcia help duped expat gain essential afo status spanish home,2020-01-20,2
170,bittersweet : confectionery giant haribo take legal action student spain invented ‘ boozy gummy bear ’,2020-01-20,2
169,"spain 's 2019 tourist arrival hit new record high , minister ...",2020-01-20,2
173,"'earth sandwich ' : two men , two slice bread 12,724km filling",2020-01-20,2
188,`` ¿y si acostamos do veces año ? `` : guiño orwell amante ( con permiso mujer ),2020-01-21,2
187,"la visita casillas puyol : comida , buen ambiente mil recuerdos",2020-01-21,1
185,zapatero 'ficha ' montoro nuevo consejero foro contratación socialmente responsable,2020-01-21,2
186,"fin 'caso julen ' : dueño pozo , condenado año cárcel pagar 180.000€ padre",2020-01-21,2
184,a transition climate social ambition,2020-01-21,2
180,pena cárcel meng hongwei aceptar sobornos ...,2020-01-21,2
182,david ferrer legado nadal : `` no volverá existir nadie él '',2020-01-21,2
181,`` con bildu vamos pactar '' : casado recupera vídeo promesas sánchez navarra,2020-01-21,2
179,entre misa 12 drogas ruta bakalao : así éxtasis palomo spain parís,2020-01-21,2
183,cómo saber si huevo cocido quitar cáscara,2020-01-21,2
197,hallan mujer muerta derrumbe edificio alcoy ( alicante ),2020-01-22,2
196,el penalti elche debió repetirse posición iago herrerín,2020-01-22,2
195,'el piraña ' 'verano azul ' ficha ayuntamiento madrid,2020-01-22,2
194,spain oust holder serbia men 's european water polo ...,2020-01-22,2
198,vox exige gobierno frene `` ofensiva '' marruecos agua canarias,2020-01-22,2
192,del 'sunny spain ' búsqueda experiencias : así evolucionado imagen españa exterior- ...,2020-01-22,2
191,interactive : see storm gloria ravaged spanish river delta,2020-01-22,2
190,nine dead four missing storm gloria batter spain,2020-01-22,2
189,"storm gloria leaf eight dead , ruin rice paddy spain",2020-01-22,2
193,spain nears life without coal sooner than anyone thought,2020-01-22,2
208,uw research expands bilingual language program baby,2020-01-23,2
207,españa luchará oro después vencer hungría europeo waterpolo femenino,2020-01-23,2
206,battle line harden spain 's classroom culture war,2020-01-23,2
205,russia spain women 's european water polo ...,2020-01-23,2
204,the official british population murcia spain increase,2020-01-23,2
203,muere apuñalado hijo escritor andaluz antonio perejil,2020-01-23,2
201,"pocahontas , perra robada destinada ayudar discapacitados : lamento adiestrador",2020-01-23,2
200,€5 ticket spain ’ s new low-cost rail service go sale monday,2020-01-23,2
199,storm gloria obliterates ebro delta catalunya,2020-01-23,2
202,galp buy acs solar asset €2.2 billion – enough ...,2020-01-23,2
215,airport meeting land spanish minister venezuela controversy,2020-01-24,2
217,"rosalía , gran embajadora moda española : luce cuatro marcas nuevo videoclip ,",2020-01-24,2
216,"umaima , menor violada , secuestrada , intoxicada golpeada 25 días marruecos",2020-01-24,2
218,"melilla , ceuta economic crisis face moroccan border ...",2020-01-24,2
214,de simeone joao félix : señalados atleti tras batacazo historia,2020-01-24,2
212,guaidó reúne macron evita criticar sánchez : `` españa aliada democracia '',2020-01-24,2
211,"muere félix casas , capitán tan 'los chiripitifláuticos '",2020-01-24,2
210,watch : coastal town inundated foam spain continues reel storm gloria,2020-01-24,2
209,vox 's 'parental pin ' : spain 's far-right battling ...,2020-01-24,2
213,"muere josé antonio pineda , entrenador cb estepona , tras sufrir infarto",2020-01-24,2
227,"yum china temporarily close kfc , pizza hut store ...",2020-01-25,2
226,"`` un criador alguien 60 perros nave , ver luz sol cría",2020-01-25,2
225,cómo 22 semanas embarazo : síntomas,2020-01-25,2
224,cuándo semana santa 2020 : fechas calendario,2020-01-25,2
228,gut-wrenching video man finding plastic fish 's stomach spain go viral,2020-01-25,2
222,detenido miembro 'boixos nois ' batalla campal ultras valencia barça,2020-01-25,2
221,ábalos asegura marlaska pidió delcy rodríguez `` no bajara avión '',2020-01-25,2
220,pedro sánchez pablo iglesias arropan iñaki williams tras insultos racistas cornellá,2020-01-25,2
219,trichinosis case reported central spain - outbreak news ...,2020-01-25,2
223,moroccan-spanish talks demarcation maritime border,2020-01-25,2
238,"almodóvar , banderas triumph “ pain glory ” goyas",2020-01-26,2
237,premios goya 2020 : resumen mejores peores ...,2020-01-26,2
236,"chinese coronavirus infection , death toll soar fifth case ...",2020-01-26,0
235,"den paso introvertidos , mundo lleno « vendedores humo »",2020-01-26,2
234,hungary win shootout earn home men 's european water ...,2020-01-26,2
233,health official seeking 30 passenger toronto-bound flight may contact man coronavirus symptom,2020-01-26,0
231,así tangana provocó expulsión cuéllar empate atlético leganés,2020-01-26,2
230,"gianna maria , hija kobe bryant , viajaba helicóptero muerto 9 persona",2020-01-26,2
229,el atlético madrid empató leganés continuum levantar cabeza tras sorpresiva eliminación copa rey,2020-01-26,2
232,¿por “ el novio muerte ” aún provoca repelús ?,2020-01-26,2
245,cómo obtener abono transporte madrid : tipos tarifas 2020,2020-01-27,2
247,spain reach 8.7 gw cumulative solar – pv magazine ...,2020-01-27,2
246,el silencio los angeles lakers tras muerte kobe bryant : homenaje esperar,2020-01-27,2
244,"tena , feminista frente justicia extremeña : `` poder hacer depende cromosomas ''",2020-01-27,2
248,cómo limpiar faro coche trucos caseros,2020-01-27,2
242,de recibir zapatillas superar récord nba : relación kobe bryant lebron james,2020-01-27,2
239,aumentan 81 muertos 2.827 infectados coronavirus china,2020-01-27,0
243,"rafa nadal , gorra lakers recuerdo kobe bryant : `` ha servido inspiración ''",2020-01-27,2
241,¿por helicóptero kobe bryant voló bajo `` reglas especiales '' policía despegaron ?,2020-01-27,2
240,spanish minister ’ s secret meeting venezuelan vice-president spark political storm,2020-01-27,2
258,así últimas horas kobe bryant hija morir bordo helicóptero,2020-01-28,2
257,el vídeo helicóptero kobe bryant niebla minutos fatal accidente,2020-01-28,2
256,"¿qué santo celebra hoy , martes 28 enero ? la lista completa santoral",2020-01-28,1
254,"el fútbol español , racismo : gesto apoyo tenerife iñaki williams athletic",2020-01-28,2
255,el coste electricidad españa intereses creados,2020-01-28,2
252,encuentran flotando ebro cadáver abuela niña muerta hotel logroño,2020-01-28,2
251,las teorías conspiranoicas coronavirus chino,2020-01-28,0
250,coronavirus : ocho medidas recomienda oms evitar contagio,2020-01-28,0
249,"un equipo chino fútbol wuhan , foco coronavirus , pretemporada málaga",2020-01-28,0
253,todas claves investigación muerte kobe bryant : descartan acto criminal,2020-01-28,2
268,ruiz lopera avisa : `` los béticos dicen 'vuelve don manuel ' '',2020-01-29,2
267,pillan estrella nba kawhi leonard club streptease,2020-01-29,2
266,éste tiempo espera me febrero,2020-01-29,2
265,el helicóptero kobe bryant contaba sistema seguridad evitara tragedia,2020-01-29,2
264,la hija chimy ávila aguanta lágrimas tras lesión padre,2020-01-29,1
263,200 millones veces cristiano : cr7 bate récord mundial seguidores instagram,2020-01-29,2
261,detenido difundir noticias falsas coronavirus ...,2020-01-29,0
260,la iaaf suspende mundial atletismo pista cubierta debido coronavirus,2020-01-29,0
259,"el hospital gómez ulla madrid , probable destino 20 ...",2020-01-29,2
262,what 's driving spain 's rise fintech hub,2020-01-29,2
278,photos video allegedly showing coronavirus ...,2020-01-30,0
277,who declares public health emergency novel coronavirus,2020-01-30,0
276,"planta 22 , verde : zona hospital gómez ulla españoles wuhan aislados",2020-01-30,2
275,spain repatriate national wuhan cooperation uk,2020-01-30,2
274,los africanos wuhan nadie evacúa : `` estamos ...,2020-01-30,2
272,un joven parálisis muere solo : padre cuarentena coronavirus,2020-01-30,0
271,"alerta doctor cavadas coronavirus : `` los muertos china 100 veces más , cabe pensar ”",2020-01-30,0
270,coronavirus : polémica cuarentena isla cárcel ...,2020-01-30,0
269,paulinho miedo coronavirus : `` me plantee salir china '',2020-01-30,0
273,[ antes/ después ] la meteórica construcción hospital ...,2020-01-30,1
285,# jenesuispasunvirus : asiáticos francia sufren `` una ...,2020-01-31,2
288,factbox : companies feel impact coronavirus outbreak ...,2020-01-31,0
287,italy suspends visa issuance all air traffic from china ...,2020-01-31,2
286,travel planning guide,2020-01-31,2
284,por va costar acabar coronavirus desatado alerta internacional,2020-01-31,0
279,confirmado primer caso coronavirus españa isla la gomera,2020-01-31,0
282,mascarillas médicas coronavirus ... fabricadas ...,2020-01-31,0
280,los números coronavirus desmiente estudio ...,2020-01-31,0
283,'turismo mascarilla ' zona 0 coronavirus : indignantes fotos 'influencers ',2020-01-31,0
281,los españoles repatriados wuhan coronavirus : `` por fin vuelto casa '',2020-01-31,0
289,spain confirms first coronavirus case,2020-02-01,0
290,"fernando simón , supermédico coronavirus : ganó batalla ébola zika",2020-02-01,0
291,cómo evitar contagio coronavirus chino ( 2019-ncov ),2020-02-01,0
292,"new schengen visa rules start applying sunday , feb. 2 ...",2020-02-01,2
293,china 's ncov total nears 12000 ; us report 2 case,2020-02-01,2
294,vietnam ban flight china coronavirus,2020-02-01,0
295,3 nigerians hid vessel nigeria hope going spain land ghana port,2020-02-01,2
296,las mil teorías disparatadas coronavirus : origen prevención,2020-02-02,0
297,"jesús camacho , formador entrenadores china : `` te vuelves loco casa coronavirus ''",2020-02-02,0
298,ap photos : ancient carnival spain ward evil spirit,2020-02-02,2
299,china move limit short selling virus loom market ...,2020-02-02,2
308,"spain 's princess leonor , 14 , princess sofia , 12 , arrived spanish parliament madrid",2020-02-03,2
307,seven schengen countries extend suspension visa ...,2020-02-03,2
306,philippines ' duterte say xenophobia chinese must stop,2020-02-03,2
305,exclusive : outbreak hit iphone output china extends ...,2020-02-03,2
304,the las salinas visitor centre san pedro pinatar,2020-02-03,2
303,morocco 's long-burdened 'mule woman ' face new struggle,2020-02-03,2
302,can spain 's coalition force economic change ?,2020-02-03,2
301,la agonía padre oviedo : bebé 13 me punto morir coronavirus,2020-02-03,0
300,"madrid 's barajas airport close airspace , drone possible ...",2020-02-03,2
317,hong kong ease reporting rule company ' result due ...,2020-02-04,2
316,siemens buy iberdrola 's stake siemens gamesa 1.1 ...,2020-02-04,2
315,spain 's cabify claim first profitable car-booking app,2020-02-04,2
314,"the best of san sebastian , spain : including a legendary hotel and a pintxo bar crawl",2020-02-04,2
313,novel coronavirus ( 2019-ncov ) outbreak - dg echo daily ...,2020-02-04,0
312,'we trouble ' : toronto woman feared life air ...,2020-02-04,2
311,"el crimen alcalde polop , castigo : 7 acusados matarlo , declarados culpables",2020-02-04,2
310,la emotiva canción memoria kobe bryant podría sonar funeral,2020-02-04,1
309,así construido 10 días hospital wuhan ...,2020-02-04,2
325,queen letizia spain join king felipe vi welcome foreign ambassador madrid 's royal palace,2020-02-05,2
324,coronavirus travel restrictions : europe tighten entry ...,2020-02-05,0
323,cerner sells off parts healthcare it business germany ...,2020-02-05,2
322,eu commission clarifies : schengen visa fees will not ...,2020-02-05,2
318,alert : us warns tourist expat spain rise rape sexual assault,2020-02-05,2
320,"dos cruceros 7.000 persona , cuarentena coronavirus hong kong japón",2020-02-05,0
319,la oms pincha burbuja coronavirus : mortalidad menor esperada,2020-02-05,0
321,coronavirus : china probará ensayos clínicos antiviral desarrollo gilead,2020-02-05,0
326,"spanish , catalan leader restart talk rare meeting",2020-02-06,2
327,los jjoo tokio 2020 celebrarán previsto : plan 'anti coronavirus ' japón,2020-02-06,0
328,la ocu alerta tres populares pintalabios contienen compuestos químicos dañinos,2020-02-06,1
329,french consulate istanbul granted schengen visa ...,2020-02-06,2
330,peak coronavirus ? epidemic forecast often wrong ...,2020-02-06,0
334,"ford shake top management , promise faster turnaround",2020-02-07,2
333,desert willow student show school spain,2020-02-07,2
335,indian authorities propose use homeopathy prevent ...,2020-02-07,2
331,activado protocolo posible caso coronavirus mallorca,2020-02-07,0
332,"spain abandoning poor despite economic recovery , say un envoy",2020-02-07,2
336,activan protocolo coronavirus mallorca 4 persona,2020-02-08,0
337,spain 's little-known 'los turcos ',2020-02-08,2
338,cuarentena obligatoria tratar frenar avance ...,2020-02-08,2
339,cake minuesa padre monedero : pulitzer entrevista ...,2020-02-08,2
340,ighalo miss manchester united ’ s spain trip coronavirus travel fear,2020-02-08,0
341,sociedad coach enjoying sleepless night beating madrid,2020-02-08,2
342,"spain consult business labour law , say economy chief",2020-02-08,2
343,norwegian reportedly cancels spirit 's asia sailings into ...,2020-02-08,2
344,coronavirus cost global tourism industry 'at least ' $ 50 billion,2020-02-08,0
345,coronavirus : five britons french ski chalet catch virus,2020-02-08,0
351,"muere david gistau , periodista escritor , tras do me ingresado lesión cerebral",2020-02-09,2
353,"laliga : barcelona seek stand-in forward injured ousmane dembele , say manager quique setien - sports news , firstpost",2020-02-09,2
350,"manuel vela , aislados gómez ulla : `` enfocamos últimos días optimismo ''",2020-02-09,2
352,nato viewed favorably across member states,2020-02-09,2
348,el paciente coronavirus mallorca infectó estación esquí,2020-02-09,0
347,spain among qualifier tokyo 2020 woman 's basketball ...,2020-02-09,2
346,spain confirms second coronavirus case : spanish authority,2020-02-09,0
349,coronavirus knock ighalo united ’ s camp spain,2020-02-09,0
359,india authorised export defence product 42 country : naik,2020-02-10,2
358,britain declares coronavirus outbreak ‘ serious imminent threat public health ’,2020-02-10,0
357,"though exhibitor cancel , mwc barcelona continue — ...",2020-02-10,2
354,polémica racista dele alli : broma pesada coronavirus grabando asiático,2020-02-10,0
355,"quién fabrica yogures marca blanca mercadona , carrefour , dia , lidl alcampo : lista",2020-02-10,2
356,'juanito ' muehlegg cincuentón forrado inmobiliaria : 18 años trampas,2020-02-10,2
360,"mayor limpieza manos aeropuertos , adiós ...",2020-02-11,2
361,trump host king queen spain state visit,2020-02-11,2
362,covid-19 : why does disease 's name matter ? | time,2020-02-11,2
363,brief-aim immunotech files provisional patent applications ...,2020-02-11,2
364,una nanofibra vidrio ilimitada,2020-02-11,2
365,"ambar , marca axiom españa , abre puertas `` redefinir '' mercado legal",2020-02-11,2
366,indonesia say nothing hide coronavirus case ...,2020-02-11,0
367,venezuela 's guaido return home diplomatic world tour,2020-02-11,2
368,"'bless chaos ' : la movida madrileña , spain 's seedy , wild post-franco underground",2020-02-11,2
369,couple ’ s daylight sex romp popular ibiza lighthouse spark outrage,2020-02-11,2
378,covid-19 : chingay parade cancelled johor govt 's advice,2020-02-12,2
377,cruise ship stranded at sea over coronavirus fears to dock in cambodia,2020-02-12,0
376,watch : who deliberates design novel coronavirus drug,2020-02-12,0
375,los vino do la mancha visibles wine parís,2020-02-12,1
374,opposition lorca mazarrón plan huge offshore ...,2020-02-12,2
373,iker casillas run spanish fa presidency : report,2020-02-12,2
372,¿qué supercontagiador coronavirus cómo afecta ...,2020-02-12,0
371,primer caso coronavirus londres : neumonía wuhan llega capital reino unido,2020-02-12,0
370,la oms califica coronavirus 'enemigo público número ...,2020-02-12,0
388,odion ighalo banned manchester united training ground coronavirus fear,2020-02-13,0
387,"today 's disease name le catchy , also le likely cause stigma",2020-02-13,2
386,première vision maintains standard edition marked ...,2020-02-13,2
