,Titulo,Ano,Cluster
173,balneario san cayetano primera quincena positiva,2020,0
174,localizan matehuala mujer desaparecida capital,2020,0
175,biblioteca nacional : ¿el director debería ser bibliotecario ?,2020,0
176,embajada unidos : billetes u $ s 100 'cara chica ' válidos,2020,0
177,floyd mayweather publicó foto redes confirmaría segunda pelea conor mcgregor ufc,2020,0
178,busca receta perfecta : fórmula equipo argentino ganar mundial helado italia,2020,0
179,sincerar política exterior gobiernos latinoamericanos dictadura cuba,2020,0
180,golpe cabeza convirtió heroína instantánea india,2020,0
181,"hermanos querro , familia unida música",2020,0
182,comunicado arsenal zárate rugby : `` son hechos totalmente ajenos club '',2020,0
183,mitos verdades famosa temida “ araña rincón ”,2020,0
184,​jorge carranza nuevo arquero boca unidos,2020,0
185,stiuso ofrecieron ser asesor serie netflix,2020,0
186,autopsia confirmó fernando báez sosa murió golpe fuerte cabeza,2020,0
187,meditación guiada easy zen,2020,0
188,plan `` guyana '' : hizo país 13 veces chico argentina ser rico mundo,2020,0
189,taranto aumentó 30 % exportaciones repuestos 2019,2020,0
190,pack : mejor manera comunicado línea prepago,2020,0
191,comenzó bogotá cumbre hemisférica terrorismo,2020,0
192,golpe cártel noreste : cayó “ monstruo ” nuevo león,2020,0
193,"carta abierta ex puma : “ perdón fernando , rugby llora ti ”",2020,0
194,gobierno acelera renegociar deuda : proyecto ...,2020,0
195,vacuna vih : fase final buscan 500 voluntarios argentina probarla,2020,0
196,"condenaron argentino causó daños machu picchu , irá prisión podrá volver país",2020,0
197,cuáles aerolíneas descuentos promociones 30 % pasajes exterior,2020,0
198,argentina recibirá 600.000 turistas lgbt año,2020,0
199,nantes cristian benavente jugará camiseta especial homenaje emiliano sala,2020,0
200,fortnite tik tok unieron especial concurso baile : cómo participar premios entrega,2020,0
201,mujer máxima autoridad industria aerocomercial,2020,0
202,cuestionan contratos incompletos,2020,0
203,jubila jorge faurie : renunció servicio exterior podría irse vivir país,2020,0
204,ratas lobos “ recién sacrificados ” : cómo exótico mercado chino apareció coronavirus,2020,1
205,bagley frena producción acumulación stock,2020,0
206,"producida salma hayek protagonizada natalia oreiro : así santa evita , nueva miniserie disn",2020,0
207,"oscar 2020 : `` parásitos '' : pobres , honrados",2020,0
208,"diciembre , familia tipo necesitó $ 38.960 ser pobre",2020,0
209,"déficit primario cerró 2019 0,4 % pbi , línea pactado fmi",2020,0
210,¿presidente presidenta ? real academia española pronunció ponerle fin debate,2020,0
211,"casi suspendió máximo thomsen , imputado asesinato fernando báez",2020,0
212,contaminación río lempa provoca crisis agua salvador,2020,0
213,visitar sainte chapelle parís,2020,0
214,ginés gonzález garcía : `` no ninguna posibilidad exista coronavirus argentina '',2020,0
215,luis alberto spinetta : cómo escuchar álbum inédito,2020,0
216,instrumento eligen inversores dolarizarse operó volumen toda acciones locale,2020,0
217,alberto fernández despidió israel `` con deseo verlo paz vecinos '',2020,0
218,mejor celular mundo saldría $ 122.000 : llega país,2020,0
219,argentina superávit comercial u $ s 15.990 millones 2019,2020,0
220,dice ciencia brote coronavirus china,2020,1
221,caza turistas chino : ¿cómo hace argentina aprovechar mercado 140 millones viajeros ?,2020,0
222,stock leliq volvió superar billón peso pese baja tasas,2020,0
223,televisión italiana reconoce pesebre formoseño,2020,0
224,"alberto fernández , netanyahu : “ nuestro compromiso saber verdad pasó amia absoluto ”",2020,0
225,extienden plazo circulación billetes $ 5,2020,0
226,"murió juan josé pizzuti , ídolo histórico racing leyenda fútbol argentino",2020,0
227,video : bariloche : extraño movimiento lago hace pensar regreso nahuelito,2020,0
228,video : mujer tira segundo piso medio ujna pelea pareja,2020,0
229,mcdonald 's starbucks cierran temporalmente sucursales cinco ciudades china coronavirus,2020,1
230,reclusos amenazan rugbiers : “ los esperando ”,2020,0
231,educación : eje fundamental desarrollo,2020,0
232,racing legend juan josé pizzuti dy aged 92,2020,0
233,denuncian extitular uif macrismo ...,2020,0
234,presidente alberto fernández regresó país luego visita oficial israel,2020,0
235,chile : turismo desplomó estallido social propio crisis argentina,2020,0
236,fopea rinde homenaje reporteros gráficos argentinos,2020,0
237,secretaría salud jalisco descartó casos sospechosos coronavirus tepatitlán,2020,1
238,abren delegación comunal sala salud do barrio san martín,2020,0
239,river gritó fuerte mendoza godoy cruz único líder superliga,2020,0
240,neuquén recupera primer lugar productor petróleo argentina - world energy trade,2020,0
241,jugadores argentinos momento europa sufrió dura lesión,2020,0
242,juan guaidó : “ venezuela hoy parece siria cuba ”,2020,0
243,avión 777x boeing despega vuelo inaugural,2020,0
244,"césar cantero , ceo alfaparf group argentina : `` la inflación gran obstáculo , difícil absorber p",2020,0
245,alberto fernández suma escala gira europea verá ngela merkel,2020,0
246,¿real falso ? video presunta víctima coronavirus dudas síntomas,2020,1
247,racing empató 1-1 atlético tucumán inicio sebastián beccacece,2020,0
248,video : leandro godoy descontó visitante,2020,0
249,desesperación alegría : hombre rescató tres gatos atrapados hielo usando café,2020,0
250,"política comercial alberto mira : sector cerrado , cuál igual busca",2020,0
251,revelaron misterios detrás cabezas gigantes olmecas,2020,0
252,compañía suiza expande fragancias,2020,0
253,"murió kobe bryant : cómo conoció lionel messi , despidió `` un genio ''",2020,0
254,"shell equinor , interesadas comprar participación ...",2020,0
255,coronavirus : efectos virus mundiales economía,2020,1
256,proyecto guila chaco : cómo protege ave rapaz grande país,2020,0
257,desconocida empresa camiseta racing vale u $ s 250 millones,2020,0
258,premios grammy : 10 look polémicos alfombra roja música,2020,0
259,"pandemia : trata serie netflix explica coronavirus chino , cuáles síntomas",2020,1
260,cuánto sale abrir hotel low cost,2020,0
261,"plan guzmán pectore , ansiosos abstenerse",2020,0
262,emma coronel rompió silencio instagram do me después debutar reality show,2020,0
263,murió consultor julio aurelio,2020,0
264,"activaron protocolo coronavirus caso neumonía guardia porteña , falsa alarma",2020,1
265,"coronavirus : argentina vive wuhan , contó cómo ...",2020,0
266,"afa tinelli , mundo deporte recibió críticas designación macri fifa",2020,0
267,coronavirus : europamundo interrumpe operaciones china ...,2020,1
268,"comparación river liverpool , puesto ofrecieron afa cree va jugar messi : 10 frases mascherano",2020,0
269,"mauricio macri , nombrado presidente ejecutivo ...",2020,0
270,señal china : cristina visitó represas santa cruz habló desidia macrista,2020,0
271,agente marítimo rol comercio exterior,2020,0
272,animales exóticos sacrificados momento : fotos mercado chino nació brote coronavirus,2020,1
273,lanzan app mejorar acceso tratamiento pacientes leucemia,2020,0
274,avión privado casi tonelada cocaína descubierto méxico varias horas salta,2020,0
275,insólita teoría ex gran hermano coronavirus,2020,1
276,única empresa argentina vio negocio u $ 75.000 m : vender `` carne falsa '' país carnívoro,2020,0
277,playas calientes frías costa argentina,2020,0
278,mundial atletismo indoor china pospuso coronavirus,2020,1
279,"nuevo coronavirus creado eeuu , patentes ...",2020,1
280,local football figure criticise macri 's new fifa post,2020,0
281,"ciudades inclusivas , habitantes",2020,0
282,decisión ser empresa internacional,2020,0
283,cuál primero auto funcionará aceite vegetal reciclado,2020,0
284,ethiopian airline denies suspending flight china amid ...,2020,0
285,alberto visita papa argentina : `` cuando venga ...,2020,0
286,nueva polémica paty navidad : actriz mexicana aseguró coronavirus creado farmacéuticas,2020,1
287,fundación bill gate participó simulacro ...,2020,0
288,morir wuhan : fotos exponen drama epicentro brote coronavirus,2020,1
289,anmat prohíbe comercialización yerba mate salmonella escherichia coli,2020,0
290,campeones mundiales league legend donaron 2 millones yuanes combatir coronavirus,2020,1
291,coronavirus force postponement badminton olympic ...,2020,1
292,"say country keep border open , trade ...",2020,0
293,"kuwait advises travelling china , call citizen ...",2020,0
294,mongolia close border china march 2 stop virus,2020,0
295,turismo interno argentina gran enero,2020,0
296,vietnam ban flight china coronavirus,2020,1
297,china : circulan redes sociales video muestran ...,2020,0
298,china ordenó cadáveres víctimas coronavirus cremados inmediatamente prohibió entierros,2020,1
299,avión flybondi debió aterrizar emergencia aeropuerto ezeiza,2020,0
300,rpt-financial market website zero hedge knocked twitter ...,2020,0
301,myanmar student flown home coronavirus-stricken wuhan,2020,1
302,u.s. flight rule china visit pose new airline challenge,2020,0
303,china move limit short selling virus loom market ...,2020,0
304,situation china 's virus-hit hubei province `` severe ...,2020,0
305,airasia share plunge airbus bribery allegation,2020,0
306,cuatro detenidos violación grupal argentina : `` por ...,2020,0
307,vacaciones 2020 : cuáles destinos nacionales visitados enero,2020,0
308,¿cómo cuidan médicos atienden persona coronavirus ?,2020,1
309,rugby femenino : araceli oviedo eldorado ...,2020,0
310,exclusive : outbreak hit iphone output china extends ...,2020,0
311,philippine ' duterte say xenophobia chinese must stop,2020,0
312,ecb 's guindos say coronavirus outbreak creates ...,2020,1
313,jan nul trae argentina draga grande región,2020,0
314,kpmg argentina inauguró nuevas oficinas 200 persona,2020,0
315,marcelo klappenbach nuevo subdirector comunicación regional nissan,2020,0
316,video . turistas chino llegan barbijos argentina nadie controla,2020,0
317,coronavirus sends asia 's social medium censor overdrive,2020,1
318,passenger face two week virus-hit cruise ship japan,2020,0
319,hong kong ease reporting rule company ' result due ...,2020,0
320,cambodia say china busy fighting virus organise pm ...,2020,0
321,yanina latorre hija tailandia teme coronavirus,2020,1
322,republican rand paul name purported 'whistleblower ' senate,2020,0
323,video viral humorista coronavirus : hizo pasar chino pidió médico domicilio,2020,1
324,inspiró modelo europeo factura $ 40 millones,2020,0
325,elon musk busca talento mundo través twitter unirse tesla,2020,0
326,botines adidas : cómo nuevos predator,2020,0
327,argentina 's 'little tree ' blossom forex control fuel black ...,2020,0
328,russian start two-week virus quarantine return ...,2020,0
329,oil price flat ; opec+ mull supply cut virus hit demand,2020,0
330,adidas close `` considerable '' number store china due ...,2020,0
331,loonie slip two-month low recent slump oil weighs,2020,0
332,vóley : do misioneros sueños selección,2020,0
333,mensaje apoyo donald trump argentina : “ dígale presidente fernández puede contar conmigo ”,2020,0
334,bdo argentina suma aliado clave servicios transformación digital,2020,0
335,60.000 hogares luz corte capital federal gran buenos aire,2020,0
336,murió coronavirus primeros médicos ...,2020,1
337,knack : increíble regreso banda argentina ganó beatles,2020,0
338,rpt-olympics-tokyo 2020 organiser set task force ...,2020,0
339,peak coronavirus ? epidemic forecast often wrong ...,2020,1
340,france 's total reject force majeure notice chinese lng ...,2020,0
341,u.s. china clash taiwan participation,2020,0
342,argentina dakar : corre rally san juan,2020,0
343,cómo protocolo aplica japón pasajeros coronavirus crucero,2020,1
344,"pangolín , extraño animal podría haber transmitido coronavirus humanos",2020,1
345,norberto nacuzzi designado country managing partner ey argentina,2020,0
346,"industrial good , oil , gas get slammed china coronavirus ...",2020,1
347,"ford shake top management , promise faster turnaround",2020,0
348,"philippine evacuates 30 , including infant , virus-hit wuhan",2020,0
349,tachurí coludo : especie amenazada conocida ...,2020,0
350,axel kicillof aseguró presos políticos argentina calienta interna frente,2020,0
351,coronavirus : mejora argentino internado japón ...,2020,1
352,"dietrich ( padre ) : `` en país argentina , puede ser rico pobre decreto ''",2020,0
353,¿se cae mito emprendedor ? 75 % prefiere ser empleado,2020,0
354,update 2-spanish authority confirm briton country 's ...,2020,0
355,ambay : medicina natural tos vías respiratorias ...,2020,0
356,forex-dollar 4-month high euro virus ...,2020,0
357,treasuries-yield curve inverts coronavirus-linked demand,2020,1
358,brief-truscreen say coronavirus may slow truscreen ...,2020,1
359,¿quién argentina conquistó corazón leonardo ...,2020,0
360,¿dónde xi ? líder chino dirige lucha coronavirus lugar seguro,2020,1
361,dardo river deseo revancha libertadores : perlitas ping pong marcos díaz,2020,0
362,update 1-j & j partner u.s. agency develop ...,2020,0
363,report : cia able read argentina 's encrypted message malvinas war,2020,0
364,indonesia say nothing hide coronavirus case ...,2020,1
365,ex senador provincial jorge ruesga nuevo gerente vialidad nacional,2020,0
366,update 1-uk stocks-factors watch feb. 12,2020,0
367,"tui lead london stock rebound ; nmc , intu miss",2020,0
368,"ee.uu . retira argentina , brasil colombia lista países desarrollo",2020,0
369,partido comunista chino interviene sostener economía frente coronavirus,2020,1
370,francisco pidió rezar encuentre cura ...,2020,0
371,china 's hubei province see surge coronavirus death ...,2020,1
372,"blackrock , fidelity form bondholder group ahead debt talk",2020,0
373,fórmula 1 suspendió gran premio china epidemia coronavirus,2020,1
374,anmat prohibió comercialización marca alfajores celíacos,2020,0
375,argentina rinde homenaje rubén darío - managua,2020,0
376,temporada liquidación : mira sale bensimon shopping caballito,2020,0
377,coronavirus outbreak begin disrupt booming china drug ...,2020,1
378,caso próvolo : sordomudos argentinos abusados piden ...,2020,0
379,euro hunde frente dólar mayor atractivo activos estadounidense,2020,0
380,encontraron ex futbolista adrián iglesias tras tres días búsqueda,2020,0
381,huawei suffer coronavirus hammer china phone sale ...,2020,1
382,ioc : tokyo 2020 canceled coronavirus crisis,2020,1
383,rpt-options trade pointing '50 cent ' accumulate ahead ...,2020,0
384,detienen pareja argentina vendía pizza medium españa,2020,0
385,desembarcaron camboya pasajeros crucero rechazado cinco países sospechas coronavirus,2020,1
386,do ejecutivos reemplazan galperin mercadolibre argentina,2020,0
387,falla coronavirus agigantan preocupación mundial : ¿qué pasará llegue gran pandemia ?,2020,1
388,"china 's coronavirus lockdown , million nowhere ...",2020,1
389,argentina fmi : historial crisis deudas,2020,0
390,desarrollan argentina test detectar coronavirus hora,2020,0
391,drástica decisión príncipe harry meghan markle muestra volverán vivir reino unido,2020,0
392,coronavirus cancel london metal exchange 's asian event,2020,1
393,especialistas tucumanas explican cómo prevenir coronavirus,2020,1
394,carney see silver lining brexit hit uk economy,2020,0
395,video : hospital disfrazada jirafa evitar contraer coronavirus,2020,1
396,cambió vida cumplir sueño : historia joven `` renació '' áfrica quiere recorrer mundo,2020,0
397,"conocé bandurria boreal , pariente garzas ...",2020,0
398,"maurício russomanno , unipar : `` esperamos año aunque necesariamente operación argentin",2020,0
399,"coronavirus imparable : 1.665 muertos , fuerte impacto petróleo cruceros",2020,1
400,cuál mejor asiento avión evitar contagio virus,2020,0
401,precious-gold hold near 2-week high uncertainty ...,2020,0
402,conocé ruinas shincal : machu picchu argentino catamarca,2020,0
403,coronavirus fotos : mundo extremum medidas combatir expansión enfermedad,2020,1
404,insólitos recursos proteger mascotas china coronavirus,2020,1
405,estudio argentino permite detectar dengue diez minutos,2020,0
406,vicentin : guardati torti vendería propiedades devolverle plata clientes,2020,0
407,japón canceló celebración cumpleaños emperador temor contagio coronavirus,2020,1
408,falleció empresario roberto paladini,2020,0
409,china seek help national tech giant track coronavirus ...,2020,1
410,celebrando amor tour eiffel,2020,0
411,coronavirus frenaron envíos carne argentina china,2020,0
412,argentina 's beef export china stumble due coronavirus,2020,0
413,"covid-19 : `` muy contagioso '' mortal , según mayor estudio virus",2020,0
414,mayor productor mundial barbijos doble desafío coronavirus,2020,1
415,"vuelve expo golosinas , evento importante ...",2020,0
416,brief-sulzer ag say fy basic eps chf 4.52,2020,0
417,facebook say 'deeply concerned ' singapore 's order ...,2020,0
418,report 92 case human-to-human coronavirus case ...,2020,1
419,metals-copper dip inventory build raise fear excess ...,2020,0
420,confirmaron do primeros casos coronavirus irán,2020,1
421,netflix argentina : analiza abrir productora debutaría serie eternauta,2020,0
422,"virus , película apocalíptica surcoreana ¿que predijo coronavirus ?",2020,1
423,colombiano sebastián pérez regresó boca miguel ángel russo tomó decisión,2020,0
424,¿compartir mate puede contagiar coronavirus ?,2020,1
425,metals-copper steady virus cloud china demand ...,2020,0
426,"corrected-european share lifted weaker euro , dip ...",2020,0
427,"dinosaurios , naranjas botellones agua : extrañas mascarillas caseras coronavirus",2020,1
428,protestas ucrania posibles infectados coronavirus llegaron china : manifestantes arrojaron piedras,2020,1
429,"argentina : crisis marcas deportivas ( adidas , puma nike ...",2020,0
430,average wage fell 44.3 % dollar term macri,2020,0
431,yen 's safe-haven status siege japan 's economy ...,2020,0
432,china say accelerate pace resuming business ...,2020,0
433,"evitar posible contagio coronavirus , pareja envolvió film avión",2020,1
434,coronavirus comenzó china papel misticismo detrás comidas ... demasiado exóticas,2020,1
435,coronavirus : temor virus alimenta prejuicios rechazo actitudes discriminatorias,2020,1
436,"víctima coronavirus : hna group , dueño ...",2020,1
437,coronavirus mata hombre mujeres,2020,1
438,ip week nears company cancel social event due ...,2020,0
439,daimler warns `` significant adverse effect '' virus outbreak,2020,0
440,primera muerte sarampión argentina ; brote alcanza ...,2020,0
441,alberto fernández eye china bid alleviate argentina ’ s debt crisis,2020,0
442,¿el coronavirus mencionado escrituras sagradas judíos ?,2020,1
443,"mate furor siria , gran comprador yerba argentina",2020,0
444,repatriación fondos bienes personales riesgo ...,2020,0
445,100 contagiados coronavirus italia,2020,1
446,venice carnival halted due coronavirus outbreak,2020,1
447,china say major coal firm restore 95 % production capacity,2020,0
448,organización mundial salud advirtió mundo “ debe prepararse potencial pandemia ” coronavirus,2020,1
